Date,Price,Open,High,Low,Vol.,Change %
4/14/2019,"1,276.00","1,294.00","1,295.20","1,273.00",1.01M,-1.48%
4/7/2019,"1,295.20","1,295.80","1,314.70","1,292.90",1.14M,-0.03%
3/31/2019,"1,295.60","1,297.20","1,301.70","1,284.90",1.12M,-0.22%
3/24/2019,"1,298.50","1,316.20","1,326.50","1,291.30",701.55K,-1.28%
3/17/2019,"1,315.40","1,303.00","1,322.40","1,301.50",5.17K,0.74%
3/10/2019,"1,305.80","1,300.90","1,314.50","1,294.10",2.14K,0.24%
3/3/2019,"1,302.70","1,297.60","1,303.10","1,286.00",0.64K,0.02%
2/24/2019,"1,302.50","1,331.90","1,334.90","1,297.00",367.47K,-2.27%
2/17/2019,"1,332.80","1,325.00","1,349.80","1,323.30",1.12M,0.81%
2/10/2019,"1,322.10","1,318.10","1,325.80","1,304.70",939.76K,0.27%
2/3/2019,"1,318.50","1,322.60","1,323.60","1,306.40",728.26K,-0.27%
1/27/2019,"1,322.10","1,302.20","1,331.10","1,299.50",700.64K,1.65%
1/20/2019,"1,300.70","1,284.50","1,305.30","1,278.70",4.44K,1.24%
1/13/2019,"1,284.80","1,296.40","1,299.40","1,282.50",2.58K,-0.63%
1/6/2019,"1,292.90","1,290.20","1,300.90","1,284.60",0.91K,0.29%
12/30/2018,"1,289.20","1,284.00","1,301.90","1,282.30",1.01K,0.24%
12/23/2018,"1,286.10","1,260.70","1,282.30","1,260.00",559.28K,2.23%
12/16/2018,"1,258.10","1,242.80","1,270.30","1,239.40",1.14M,1.35%
12/9/2018,"1,241.40","1,255.60","1,256.60","1,236.50",896.70K,-0.89%
12/2/2018,"1,252.60","1,227.80","1,255.80","1,226.60",1.05M,2.17%
11/25/2018,"1,226.00","1,226.60","1,234.90","1,214.50",419.30K,-0.05%
11/18/2018,"1,226.60","1,225.70","1,232.90","1,222.70",1.80K,0.02%
11/11/2018,"1,226.40","1,214.00","1,229.10","1,201.70",1.97K,1.14%
11/4/2018,"1,212.60","1,233.80","1,241.70","1,211.50",4.08K,-1.97%
10/28/2018,"1,237.00","1,236.40","1,240.70","1,218.30",235.18K,0.10%
10/21/2018,"1,235.80","1,230.50","1,246.00","1,222.80",1.26M,0.58%
10/14/2018,"1,228.70","1,221.20","1,236.90","1,220.40",1.20M,0.55%
10/7/2018,"1,222.00","1,206.70","1,230.00","1,186.00",1.66M,1.36%
9/30/2018,"1,205.60","1,196.10","1,212.30","1,188.10",1.39M,0.79%
9/23/2018,"1,196.20","1,201.20","1,205.00","1,184.30",659.61K,-0.20%
9/16/2018,"1,198.60","1,198.50","1,212.10","1,194.20",0.69K,0.00%
9/9/2018,"1,198.60","1,198.80","1,213.30","1,190.10",0.29K,0.07%
9/2/2018,"1,197.80","1,201.80","1,209.00","1,193.30",0.10K,-0.52%
8/26/2018,"1,204.10","1,209.20","1,215.70","1,201.00",34.63K,-0.37%
8/19/2018,"1,208.60","1,185.50","1,210.40","1,184.90",31.28K,2.44%
8/12/2018,"1,179.80","1,214.20","1,216.50","1,162.70",32.62K,-2.83%
8/5/2018,"1,214.20","1,216.70","1,220.70","1,208.50",23.72K,-0.32%
7/29/2018,"1,218.10","1,226.50","1,232.60","1,207.40",47.54K,-0.68%
7/22/2018,"1,226.50","1,234.20","1,237.70","1,220.00",4.96K,-0.58%
7/15/2018,"1,233.60","1,245.20","1,248.00","1,213.40",2.39K,-0.82%
7/8/2018,"1,243.80","1,260.40","1,269.80","1,239.50",1.66K,-1.20%
7/1/2018,"1,258.90","1,256.00","1,263.60","1,242.10",0.42K,0.13%
6/24/2018,"1,257.30","1,272.20","1,274.40","1,252.20",712.48K,-1.05%
6/17/2018,"1,270.70","1,281.10","1,286.80","1,262.40",1.18M,-0.61%
6/10/2018,"1,278.50","1,303.50","1,313.00","1,277.90",1.58M,-1.86%
6/3/2018,"1,302.70","1,296.70","1,307.80","1,293.50",1.22M,0.26%
5/27/2018,"1,299.30","1,302.80","1,311.50","1,293.10",974.79K,-0.54%
5/20/2018,"1,306.40","1,293.90","1,309.60","1,284.60",3.65K,0.95%
5/13/2018,"1,294.10","1,322.50","1,325.20","1,287.00",0.90K,-2.24%
5/6/2018,"1,323.80","1,323.00","1,328.40","1,309.00",0.67K,0.46%
4/29/2018,"1,317.70","1,311.00","1,321.50","1,307.90",0.24K,-0.66%
4/22/2018,"1,326.50","1,336.20","1,337.60","1,316.20",1.14M,-0.88%
4/15/2018,"1,338.30","1,349.80","1,359.00","1,337.00",1.48M,-0.71%
4/8/2018,"1,347.90","1,338.00","1,369.40","1,330.10",1.67M,0.88%
4/1/2018,"1,336.10","1,330.70","1,352.50","1,322.60",1.55M,0.66%
3/25/2018,"1,327.30","1,350.90","1,358.50","1,325.40",641.41K,-1.86%
3/18/2018,"1,352.40","1,315.80","1,352.80","1,309.30",2.62K,2.86%
3/11/2018,"1,314.80","1,326.90","1,332.90","1,312.00",1.18K,-0.90%
3/4/2018,"1,326.70","1,330.50","1,344.00","1,316.60",1.55K,0.06%
2/25/2018,"1,325.90","1,330.40","1,342.90","1,308.30",247.79K,-0.33%
2/18/2018,"1,330.30","1,350.20","1,354.00","1,322.90",1.00M,-1.91%
2/11/2018,"1,356.20","1,317.10","1,364.40","1,316.30",1.35M,3.08%
2/4/2018,"1,315.70","1,334.60","1,349.30","1,309.00",1.81M,-1.62%
1/28/2018,"1,337.30","1,351.60","1,354.30","1,330.10",1.53M,-1.26%
1/21/2018,"1,354.40","1,337.40","1,367.50","1,331.40",6.95K,1.43%
1/14/2018,"1,335.30","1,339.20","1,346.50","1,326.90",1.67K,-0.14%
1/7/2018,"1,337.20","1,323.80","1,342.00","1,312.30",2.14K,1.13%
1/1/2018,"1,322.30","1,305.30","1,327.30","1,304.60",1.33M,-0.17%
12/31/2017,"1,324.50","1,311.00","1,329.30","1,310.00",1.72K,1.16%
12/25/2017,"1,309.30","1,279.00","1,309.80","1,277.70",807.36K,-0.16%
12/24/2017,"1,311.40","1,279.00","1,308.80","1,277.70",340.43K,2.55%
12/17/2017,"1,278.80","1,257.80","1,280.40","1,255.30",1.02M,1.69%
12/10/2017,"1,257.50","1,249.20","1,264.50","1,238.30",1.26M,0.73%
12/3/2017,"1,248.40","1,277.60","1,280.50","1,244.40",1.45M,-2.64%
11/26/2017,"1,282.30","1,292.00","1,300.70","1,273.10",1.19M,-0.54%
11/19/2017,"1,289.20","1,294.50","1,296.10","1,275.90",2.14K,-0.69%
11/12/2017,"1,298.20","1,277.00","1,298.20","1,273.10",1.42K,1.75%
11/5/2017,"1,275.90","1,271.10","1,290.00","1,271.10",1.43K,0.40%
10/29/2017,"1,270.80","1,275.10","1,285.80","1,268.60",0.47K,-0.08%
